Classification,L,HHGCN,HHGCF,HHGCS,HHGCT,HGCN,HGCF,HGCS,HGCT,LGCN,LGCF,LGCS,LGCT,POLYA,POLYT,POLYG,POLYC,POLYAT,POLYGC,RRC,MRRC,RRWCN30,RRWCN50,DRC,MDRC,DRWCN30,DRWCN50,DRN,DRM,DR1SS,DR1L,DR1N,DR1G,DR1S,DR2SS,DR2L,DR2N,DR2G,DR2S,DR3SS,DR3L,DR3N,DR3G,DR3S,DR4SS,DR4L,DR4N,DR4G,DR4S,DR5SS,DR5L,DR5N,DR5G,DR5S,RRN,RRM,RR1SS,RR1L,RR1N,RR1G,RR1S,RR2SS,RR2L,RR2N,RR2G,RR2S,RR3SS,RR3L,RR3N,RR3G,RR3S,RR4SS,RR4L,RR4N,RR4G,RR4S,RR5SS,RR5L,RR5N,RR5G,RR5S
Complex,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3052,0.0171,0,0,32,10,13,13,2,0,16,480,12,2,564,588,8,11,2,7,29,48,11,2,862,884,179,11,2,910,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4911,0.0367,0,0,21,13,244,33,2,141,207,172,32,2,142,206,136,17,2,331,365,88,14,3,160,362,208,14,2,160,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,3964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066,0.0033,0,0,0.3446,0.0108,0,0,86,10,1391,19,2,248,286,209,14,2,2754,2782,17,12,2,384,408,417,12,2,2889,2913,1262,12,2,32,56,1,13,1244,13,2,2648,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,3099,0,0,0,0,3,135,36,31,0,0,0,0,0,0,0,0,0,0,0.0239,0.0042,0,0,0.1359,0.0123,0,0,26,10,283,13,2,305,331,755,13,2,401,427,806,13,3,0,427,25,12,2,690,714,1212,12,2,24,48,3,12,167,13,2,635,661,523,12,2,564,588,209,12,2,770,794,0,0,0,0,0,0,0,0,0,0
Complex,1350,3,47,40,32,2,250,250,0,0,0,0,0,0,0,0,0,0,0,0.0481,0.0156,0,0,0.0815,0.0156,0,0,6,11,413,14,2,0,17,365,12,2,0,21,93,10,2,0,19,260,10,2,231,251,567,10,2,664,684,3,13,100,14,2,113,141,493,13,2,585,611,220,12,2,855,879,0,0,0,0,0,0,0,0,0,0
Complex,1350,3,47,40,32,2,250,250,0,0,0,0,0,0,0,0,0,0,0,0.0481,0.0156,0,0,0.0815,0.0156,0,0,6,11,413,14,2,0,17,365,12,2,0,21,93,10,2,0,19,260,10,2,231,251,567,10,2,664,684,3,13,100,14,2,113,141,493,13,2,585,611,220,12,2,855,879,0,0,0,0,0,0,0,0,0,0
Complex,3099,0,0,0,0,3,135,36,31,0,0,0,0,0,0,0,0,0,0,0.0239,0.0042,0,0,0.1359,0.0123,0,0,26,10,283,13,2,305,331,755,13,2,401,427,806,13,3,0,427,25,12,2,690,714,1212,12,2,24,48,3,12,167,13,2,635,661,523,12,2,564,588,209,12,2,770,794,0,0,0,0,0,0,0,0,0,0
Complex,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.0219,0.0055,0,0,0.2359,0.0219,0,0,44,12,539,31,2,29,91,590,24,2,195,243,543,19,3,41,229,565,17,2,106,140,567,17,2,247,281,2,12,1137,12,2,849,873,32,12,2,1223,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.0219,0.0055,0,0,0.2359,0.0219,0,0,44,12,539,31,2,29,91,590,24,2,195,243,543,19,3,41,229,565,17,2,106,140,567,17,2,247,281,2,12,1137,12,2,849,873,32,12,2,1223,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0.2564,0.0264,0,0,26,12,476,19,2,0,37,627,17,2,76,110,732,17,2,0,20,525,15,2,144,174,27,14,2,631,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864,0.0216,0,0,0.9753,0.4923,0,0,6,111,7,172,2,4,348,354,141,2,7,289,7,128,3,48,495,7,121,4,27,636,13,94,7,0,609,4,14,148,14,2,346,374,148,14,2,198,226,324,14,2,170,198,324,14,2,22,50,0,0,0,0,0
Complex,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2652,0.0179,0,0,20,11,460,16,2,329,361,525,14,2,655,683,297,13,2,134,160,433,12,2,111,135,101,11,2,796,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2577,0.0158,0,0,20,10,463,16,2,329,361,528,14,2,655,683,436,12,2,111,135,101,11,2,799,821,434,11,2,208,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,5384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,0.0097,0.0026,0,0,0.1504,0.0046,0,0,43,10,366,13,2,941,967,1308,13,2,2666,2692,2173,13,2,1382,1408,2598,13,2,737,763,3172,13,2,1598,1624,2,13,1936,14,2,1880,1908,2966,12,2,2376,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1977,0.0137,0,0,24,11,66,14,2,616,644,182,14,2,49,77,177,13,2,542,568,178,13,2,1238,1264,178,12,3,543,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3179,0.0156,0,0,34,13,1002,28,2,866,922,1010,23,2,424,470,1297,21,2,426,468,1010,20,3,427,914,860,17,2,430,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,5678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268,0.0039,0,0,0.1943,0.0419,0,0,27,22,2968,238,2,2228,2704,826,72,2,0,144,3280,23,2,121,167,973,21,2,0,42,3267,18,2,74,110,5,15,3212,22,2,1454,1498,3543,16,2,9,41,3688,13,2,55,81,1063,13,2,1,27,1115,12,2,1499,1523
Complex,8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277,0.0026,0,0,0.5117,0.1776,0,0,29,88,2784,1489,2,959,3937,4970,253,2,2902,3408,2521,238,2,2228,2704,2521,236,3,2230,5857,379,72,2,0,144,12,15,2765,22,2,3902,3946,2765,22,2,1454,1498,3096,16,2,2457,2489,3096,16,2,9,41,5544,16,2,9,41
Complex,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0.8988,0.3752,19,19,7,159,110,332,2,0,508,281,160,3,16,1040,284,157,4,19,1037,638,156,2,20,332,110,155,7,21,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,3581,1,58,0,0,5,153,45,44,0,0,0,0,0,0,0,0,0,0,0.0067,0.0034,0,0,0.1243,0.0053,0,0,24,10,780,14,2,157,185,1091,13,2,17,43,701,11,2,2204,2226,819,11,2,361,383,824,11,2,1017,1039,1,12,134,12,2,51,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,2828,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0.005,0,0,0.1241,0.023,0,0,14,14,2669,65,2,0,130,364,12,2,204,228,647,12,2,1885,1909,1253,11,2,103,125,1741,11,2,775,797,1,14,195,14,2,2338,2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,4664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124,0.0034,0,0,0.104,0.0107,0,0,25,11,58,23,2,121,167,45,18,2,74,110,64,14,3,38,158,31,13,2,79,105,1500,12,2,141,165,2,14,321,16,2,9,41,466,13,2,55,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,4664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124,0.0034,0,0,0.104,0.0107,0,0,25,11,58,23,2,121,167,45,18,2,74,110,64,14,3,38,158,31,13,2,79,105,1500,12,2,141,165,2,14,321,16,2,9,41,466,13,2,55,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0.0034,0,0,0.1093,0.0107,0,0,26,11,58,23,2,121,167,45,18,2,74,110,64,14,3,38,158,31,13,2,79,105,1769,12,2,633,657,3,13,321,16,2,9,41,466,13,2,55,81,1178,12,2,698,722,0,0,0,0,0,0,0,0,0,0
Complex,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1436,0.0162,0,0,9,10,235,12,2,199,223,585,11,2,31,53,686,11,2,145,167,1134,11,2,0,17,142,10,2,605,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1628,0.017,0,0,10,10,243,11,2,10,32,594,11,2,31,53,695,11,2,145,167,1143,11,2,0,17,142,10,2,614,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1432,0.0162,0,0,9,10,238,12,2,199,223,588,11,2,31,53,689,11,2,145,167,1137,11,2,0,17,145,10,2,605,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1624,0.0169,0,0,10,10,246,11,2,10,32,597,11,2,31,53,698,11,2,145,167,1146,11,2,0,17,145,10,2,614,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2458,0.0107,0,0,29,11,732,15,2,456,486,1200,15,2,219,249,665,13,2,184,210,1360,13,2,218,244,1388,13,2,218,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0.0073,0,0,0.2168,0.014,0,0,22,10,234,12,2,0,15,856,12,2,96,120,316,11,2,1084,1106,324,11,2,133,155,374,11,2,658,680,1,13,851,13,2,205,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1770,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2373,0.0429,0,0,16,17,811,61,2,0,76,388,54,2,783,891,22,14,2,1,29,319,14,2,382,410,72,13,2,806,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
